date,dte,pe_strike,ce_strike,entry_premium,exit_premium,exit_reason,pnl,entry_index,exit_index,entry_time,exit_time,stoploss_price,target_price,param_set_rank,filename,week_number,source_file
2024-12-27,4DTE,23850,23850,356.54999999999995,281.95,Time Exit,3729.999999999998,23839.95,23830.6,09:20:00,15:20:00,695.2724999999999,89.13749999999999,10,nifty_options_20250102.csv,1,detailed_trades_rank_10_20260202_180056.csv
2024-12-30,3DTE,23800,23800,253.15,268.2,Time Exit,-752.5000000000006,23776.55,23658.55,09:20:00,15:20:00,493.6424999999999,63.2875,10,nifty_options_20250102.csv,1,detailed_trades_rank_10_20260202_180056.csv
2024-12-31,2DTE,23550,23550,259.29999999999995,297.55,Time Exit,-1912.5000000000027,23545.6,23649.3,09:20:00,15:20:00,505.6349999999999,64.82499999999999,10,nifty_options_20250102.csv,1,detailed_trades_rank_10_20260202_180056.csv
2025-01-01,1DTE,23650,23650,235.2,276.3,Time Exit,-2055.000000000001,23629.65,23757.75,09:20:00,15:20:00,458.64,58.8,10,nifty_options_20250102.csv,1,detailed_trades_rank_10_20260202_180056.csv
2025-01-02,ODTE,23750,23750,230.8,339.45,Index Breach,-5432.499999999999,23771.7,24046.75,09:20:00,12:30:00,450.06,57.7,10,nifty_options_20250102.csv,1,detailed_trades_rank_10_20260202_180056.csv
2025-01-03,4DTE,24150,24150,367.3,342.3,Time Exit,1250.0,24155.85,23995.4,09:20:00,15:20:00,716.235,91.825,10,nifty_options_20250109.csv,2,detailed_trades_rank_10_20260202_180056.csv
2025-01-06,3DTE,24100,24100,306.95,421.0,Index Breach,-5702.500000000001,24080.6,23807.1,09:20:00,11:00:00,598.5525,76.7375,10,nifty_options_20250109.csv,2,detailed_trades_rank_10_20260202_180056.csv
2025-01-07,2DTE,23750,23750,326.9,242.4,Time Exit,4225.0,23764.0,23703.6,09:20:00,15:20:00,637.4549999999999,81.725,10,nifty_options_20250109.csv,2,detailed_trades_rank_10_20260202_180056.csv
2025-01-08,1DTE,23650,23650,202.45,143.15,Time Exit,2964.999999999999,23654.75,23692.65,09:20:00,15:20:00,394.7775,50.6125,10,nifty_options_20250109.csv,2,detailed_trades_rank_10_20260202_180056.csv
2025-01-09,ODTE,23600,23600,92.3,74.64999999999999,Time Exit,882.500000000001,23609.7,23541.75,09:20:00,15:20:00,179.985,23.075000000000003,10,nifty_options_20250109.csv,2,detailed_trades_rank_10_20260202_180056.csv
2025-01-10,4DTE,23550,23550,358.85,319.85,Time Exit,1950.0,23565.65,23442.3,09:20:00,15:20:00,699.7575,89.7125,10,nifty_options_20250116.csv,3,detailed_trades_rank_10_20260202_180056.csv
2025-01-13,3DTE,23250,23250,333.65,275.05,Time Exit,2929.999999999998,23231.25,23089.7,09:20:00,15:20:00,650.6175,83.4125,10,nifty_options_20250116.csv,3,detailed_trades_rank_10_20260202_180056.csv
2025-01-14,2DTE,23200,23200,229.25,177.75,Time Exit,2575.0,23210.8,23197.05,09:20:00,15:20:00,447.0375,57.3125,10,nifty_options_20250116.csv,3,detailed_trades_rank_10_20260202_180056.csv
